leftside,rightside,support
N,P,0.7554908485856905
H,b,0.7551580698835274
A,W,0.7549084858569052
F,E,0.754242928452579
K,v,0.7539933444259568
H,L,0.7539101497504159
b,w,0.7538269550748752
J,w,0.7536605657237937
N,R,0.7534941763727121
W,D,0.7534109816971714
f,F,0.7531613976705491
J,H,0.7530782029950083
c,z,0.7525790349417637
w,v,0.7524126455906822
P,O,0.7519134775374376
M,z,0.7518302828618968
N,L,0.7514975041597338
R,O,0.7514975041597338
L,O,0.75108153078203
z,y,0.75108153078203
S,z,0.7509151414309484
K,G,0.7504991680532446
N,b,0.7500831946755407
p,O,0.7495008319467554
N,p,0.7494176372712147
m,z,0.7493344425956738
K,F,0.74891846921797
P,W,0.7480865224625624
R,W,0.747504159733777
N,J,0.7469217970049917
b,O,0.7468386023294509
w,G,0.7463394342762063
g,z,0.7461730449251248
N,v,0.7460066555740432
f,E,0.7459234608985025
H,G,0.7458402662229617
w,F,0.7448419301164726
p,W,0.7445923460898503
C,z,0.7445091514143095
z,B,0.7444259567387688
J,W,0.7443427620632279
H,F,0.7443427620632279
W,L,0.7435940099833611
f,K,0.7430116472545757
z,T,0.7428452579034942
v,O,0.7425124792013311
z,k,0.7422628951747088
J,O,0.7420133111480866
b,W,0.7419301164725458
z,D,0.7417637271214642
I, ,0.7415973377703827
N,G,0.7414309484193011
I,a,0.7413477537437604
I,e,0.7410981697171382
z,A,0.7407653910149751
I,n,0.7405990016638935
I,",",0.7405158069883527
f,H,0.7403494176372712
K,E,0.7403494176372712
I,i,0.7400998336106489
I,o,0.7399334442595674
I,r,0.7395174708818636
I,l,0.7392678868552413
I,s,0.7391846921797005
N,F,0.7391846921797005
f,w,0.7391014975041598
W,v,0.7385191347753743
G,O,0.7378535773710483
I,t,0.7378535773710483
z,P,0.7377703826955075
F,O,0.7370216306156406
H,E,0.7369384359400998
f,O,0.736522462562396
w,E,0.7362728785357737
W,G,0.7358569051580699
z,L,0.7356073211314476
I,d,0.7346921797004992
z,R,0.7344425956738768
w,K,0.7341930116472546
H,w,0.7341098169717138
I,u,0.7339434276206322
I,h,0.7336106489184692
z,p,0.7325291181364393
I,c,0.7322795341098169
W,F,0.7316139767054909
I,m,0.73153078202995
N,f,0.7311980033277871
N,E,0.7311980033277871
H,K,0.7306988352745424
I,y,0.7306988352745424
f,W,0.7302828618968386
E,O,0.7302828618968386
I,M,0.7300332778702163
J,z,0.7299500831946756
z,b,0.7298668885191347
N,K,0.7287021630615641
I,S,0.7278702163061564
I,g,0.7271214642262895
z,v,0.7270382695507488
z,G,0.726622296173045
I,T,0.7265391014975041
K,O,0.7261231281198003
N,w,0.7251247920133111
I,C,0.724459234608985
W,K,0.7240432612312812
N,H,0.7238768718801997
W,E,0.7237936772046589
I,B,0.7236272878535773
I,k,0.7227953410981697
I,D,0.7227953410981697
w,O,0.7227121464226289
z,F,0.7221297836938436
W,w,0.7217970049916805
H,O,0.7207986688851914
H,W,0.7207154742096505
I,A,0.7198835274542429
I,P,0.7190515806988352
N,O,0.7176372712146423
I,p,0.7165557404326123
z,E,0.7163893510815308
I,L,0.7158901830282862
I,R,0.7148086522462562
f,z,0.714559068219634
N,W,0.7137271214642263
z,K,0.7127287853577371
I,b,0.7113144758735441
W,O,0.7108153078202994
I,v,0.7101497504159734
I,J,0.7087354409317803
I,G,0.7060732113144759
H,z,0.7042429284525791
V, ,0.7034109816971714
a,V,0.7031613976705491
V,e,0.7030782029950083
I,F,0.7025790349417638
i,V,0.7024126455906822
V,r,0.7024126455906822
V,",",0.7024126455906822
V,o,0.7024126455906822
V,n,0.7021630615640599
N,z,0.7019134775374376
s,V,0.7014975041597338
V,l,0.7013311148086523
t,V,0.7008319467554076
z,w,0.6999168053244592
z,O,0.6982529118136439
u,V,0.6980033277870217
&, ,0.6979201331114808
I,E,0.6978369384359401
I,f,0.697504159733777
&,e,0.697504159733777
a,&,0.6973377703826955
&,n,0.6970049916805324
V,d,0.6970049916805324
i,&,0.6970049916805324
&,o,0.6969217970049917
V,h,0.6968386023294509
s,&,0.6967554076539102
&,",",0.6966722129783693
&,r,0.6965890183028286
c,V,0.6963394342762064
&,l,0.6955906821963395
t,&,0.6953410981697171
z,W,0.6952579034941764
m,V,0.6942595673876872
I,K,0.6931780366056572
&,h,0.6930116472545758
M,V,0.6929284525790349
g,V,0.6928452579034942
&,d,0.6927620632279534
u,&,0.6925124792013311
y,V,0.6924292845257903
S,V,0.6923460898502496
x,e,0.6916805324459234
x, ,0.6913477537437605
i,x,0.6910149750415974
a,x,0.6910149750415974
c,&,0.6910149750415974
y,&,0.6909317803660566
x,",",0.6908485856905158
x,n,0.6905158069883528
x,o,0.6905158069883528
x,r,0.6903494176372712
m,&,0.6902662229617305
I,H,0.6902662229617305
I,N,0.6898502495840266
x,l,0.6897670549084859
V,T,0.6896006655574043
s,x,0.6895174708818635
x,t,0.6894342762063228
B,V,0.6892678868552413
C,V,0.689018302828619
S,&,0.6889351081530782
M,&,0.6888519134775375
I,w,0.6884359400998337
V,D,0.687936772046589
V,A,0.6878535773710482
x,h,0.6875207986688852
&,T,0.6869384359400998
x,u,0.6867720465890182
g,&,0.6861896838602329
x,d,0.6861064891846922
B,&,0.6855241264559068
V,k,0.685440931780366
V,P,0.6849417637271215
&,k,0.6849417637271215
C,&,0.6848585690515807
c,x,0.68477537437604
x,y,0.6844425956738769
I,O,0.6842762063227953
V,R,0.6834442595673876
m,x,0.6831946755407654
&,D,0.6828618968386023
S,x,0.6827787021630616
x,M,0.6825291181364392
V,L,0.6821131447587354
x,T,0.6811148086522463
V,p,0.6811148086522463
V,b,0.6805324459234608
I,W,0.6805324459234608
x,k,0.6802828618968386
&,A,0.6800332778702163
x,B,0.6795341098169717
g,x,0.679450915141431
V,v,0.6789517470881864
C,x,0.6787021630615641
&,R,0.6782029950083195
x,A,0.6779534109816971
x,D,0.6777870216306157
&,P,0.6770382695507488
x,P,0.6770382695507488
J,V,0.6768718801996673
&,L,0.6757071547420965
&,b,0.6756239600665558
I,z,0.6756239600665558
J,&,0.6754575707154742
